indentation_point,cavity_type,indentation_set,force_meas_N,force_base_N
+X-Y_edge,M2R,center_edge,4.395,5.91
-X-Y_edge,M2R,center_edge,4.395,5.91
+X+Z_edge,M2R,center_edge,4.615,5.91
-X+Z_edge,M2R,center_edge,4.615,5.91
+X-Z_edge,M2R,center_edge,4.615,5.91
-X-Z_edge,M2R,center_edge,4.615,5.91
+Y+X_edge,M2R,center_edge,4.025,5.91
-Y+X_edge,M2R,center_edge,4.025,5.91
+Y-X_edge,M2R,center_edge,4.025,5.91
-Y-X_edge,M2R,center_edge,4.025,5.91
+Y+Z_edge,M2R,center_edge,4.025,5.91
-Y+Z_edge,M2R,center_edge,4.025,5.91
+Y-Z_edge,M2R,center_edge,4.025,5.91
-Y-Z_edge,M2R,center_edge,4.025,5.91
+Z+X_edge,M2R,center_edge,4.615,5.91
-Z+X_edge,M2R,center_edge,4.615,5.91
+Z-X_edge,M2R,center_edge,4.615,5.91
-Z-X_edge,M2R,center_edge,4.615,5.91
+Z+Y_edge,M2R,center_edge,4.395,5.91
-Z+Y_edge,M2R,center_edge,4.395,5.91
+Z-Y_edge,M2R,center_edge,4.395,5.91
-Z-Y_edge,M2R,center_edge,4.395,5.91
+X+Y_off,M2R,center_edge,,
-X+Y_off,M2R,center_edge,,
+X-Y_off,M2R,center_edge,,
-X-Y_off,M2R,center_edge,,
+X+Z_off,M2R,center_edge,,
-X+Z_off,M2R,center_edge,,
+X-Z_off,M2R,center_edge,,
-X-Z_off,M2R,center_edge,,
+Y+X_off,M2R,center_edge,,
-Y+X_off,M2R,center_edge,,
+Y-X_off,M2R,center_edge,,
-Y-X_off,M2R,center_edge,,
+Y+Z_off,M2R,center_edge,,
-Y+Z_off,M2R,center_edge,,
+Y-Z_off,M2R,center_edge,,
-Y-Z_off,M2R,center_edge,,
+Z+X_off,M2R,center_edge,,
-Z+X_off,M2R,center_edge,,
+Z-X_off,M2R,center_edge,,
-Z-X_off,M2R,center_edge,,
+Z+Y_off,M2R,center_edge,,
-Z+Y_off,M2R,center_edge,,
+Z-Y_off,M2R,center_edge,,
-Z-Y_off,M2R,center_edge,,
+X_center,M2S,center_edge,3.995,5.555
-X_center,M2S,center_edge,3.995,5.555
+Y_center,M2S,center_edge,3.995,5.555
-Y_center,M2S,center_edge,3.995,5.555
+Z_center,M2S,center_edge,3.995,5.555
-Z_center,M2S,center_edge,3.995,5.555
+X+Y_edge,M2S,center_edge,3.21,5.91
-X+Y_edge,M2S,center_edge,3.21,5.91
+X-Y_edge,M2S,center_edge,3.21,5.91
-X-Y_edge,M2S,center_edge,3.21,5.91
+X+Z_edge,M2S,center_edge,3.21,5.91
-X+Z_edge,M2S,center_edge,3.21,5.91
+X-Z_edge,M2S,center_edge,3.21,5.91
-X-Z_edge,M2S,center_edge,3.21,5.91
+Y+X_edge,M2S,center_edge,3.21,5.91
-Y+X_edge,M2S,center_edge,3.21,5.91
+Y-X_edge,M2S,center_edge,3.21,5.91
-Y-X_edge,M2S,center_edge,3.21,5.91
+Y+Z_edge,M2S,center_edge,3.21,5.91
-Y+Z_edge,M2S,center_edge,3.21,5.91
+Y-Z_edge,M2S,center_edge,3.21,5.91
-Y-Z_edge,M2S,center_edge,3.21,5.91
+Z+X_edge,M2S,center_edge,3.21,5.91
-Z+X_edge,M2S,center_edge,3.21,5.91
+Z-X_edge,M2S,center_edge,3.21,5.91
-Z-X_edge,M2S,center_edge,3.21,5.91
+Z+Y_edge,M2S,center_edge,3.21,5.91
-Z+Y_edge,M2S,center_edge,3.21,5.91
+Z-Y_edge,M2S,center_edge,3.21,5.91
-Z-Y_edge,M2S,center_edge,3.21,5.91
+X+Y_off,M2S,center_edge,,
-X+Y_off,M2S,center_edge,,
+X-Y_off,M2S,center_edge,,
-X-Y_off,M2S,center_edge,,
+X+Z_off,M2S,center_edge,,
-X+Z_off,M2S,center_edge,,
+X-Z_off,M2S,center_edge,,
-X-Z_off,M2S,center_edge,,
+Y+X_off,M2S,center_edge,,
-Y+X_off,M2S,center_edge,,
+Y-X_off,M2S,center_edge,,
-Y-X_off,M2S,center_edge,,
+Y+Z_off,M2S,center_edge,,
-Y+Z_off,M2S,center_edge,,
+Y-Z_off,M2S,center_edge,,
-Y-Z_off,M2S,center_edge,,
+Z+X_off,M2S,center_edge,,
-Z+X_off,M2S,center_edge,,
+Z-X_off,M2S,center_edge,,
-Z-X_off,M2S,center_edge,,
+Z+Y_off,M2S,center_edge,,
-Z+Y_off,M2S,center_edge,,
+Z-Y_off,M2S,center_edge,,
-Z-Y_off,M2S,center_edge,,
+X_center,M3,center_edge,8.415,5.555
-X_center,M3,center_edge,8.415,5.555
+Y_center,M3,center_edge,8.04,5.555
-Y_center,M3,center_edge,8.04,5.555
+Z_center,M3,center_edge,8.415,5.555
-Z_center,M3,center_edge,8.415,5.555
+X+Y_edge,M3,center_edge,8.145,5.91
-X+Y_edge,M3,center_edge,8.145,5.91
+X-Y_edge,M3,center_edge,9.145,5.91
-X-Y_edge,M3,center_edge,9.145,5.91
+X+Z_edge,M3,center_edge,8.545,5.91
-X+Z_edge,M3,center_edge,8.545,5.91
+X-Z_edge,M3,center_edge,8.545,5.91
-X-Z_edge,M3,center_edge,8.545,5.91
+Y+X_edge,M3,center_edge,8.4,5.91
-Y+X_edge,M3,center_edge,8.4,5.91
+Y-X_edge,M3,center_edge,8.4,5.91
-Y-X_edge,M3,center_edge,8.4,5.91
+Y+Z_edge,M3,center_edge,8.4,5.91
-Y+Z_edge,M3,center_edge,8.4,5.91
+Y-Z_edge,M3,center_edge,8.4,5.91
