indentation_point,cavity_type,depth_meas_mm,depth_base_mm
+Z+X_off,M2S,2.565,0.5
-Z+X_off,M2S,2.565,0.5
+Z-X_off,M2S,2.565,0.5
-Z-X_off,M2S,2.565,0.5
+Z+Y_off,M2S,2.565,0.5
-Z+Y_off,M2S,2.565,0.5
+Z-Y_off,M2S,2.565,0.5
-Z-Y_off,M2S,2.565,0.5
+X_center,M3,0.72,0.5
-X_center,M3,0.72,0.5
+Y_center,M3,0.53,0.5
-Y_center,M3,2.09,0.5
+Z_center,M3,0.72,0.5
-Z_center,M3,0.72,0.5
+X+Y_edge,M3,0.7,0.5
-X+Y_edge,M3,0.7,0.5
+X-Y_edge,M3,0.825,0.5
-X-Y_edge,M3,0.825,0.5
+X+Z_edge,M3,0.72,0.5
-X+Z_edge,M3,0.72,0.5
+X-Z_edge,M3,0.72,0.5
-X-Z_edge,M3,0.72,0.5
+Y+X_edge,M3,0.44,0.5
-Y+X_edge,M3,1.71,0.5
+Y-X_edge,M3,0.44,0.5
-Y-X_edge,M3,1.71,0.5
+Y+Z_edge,M3,0.44,0.5
-Y+Z_edge,M3,1.71,0.5
+Y-Z_edge,M3,0.44,0.5
-Y-Z_edge,M3,1.71,0.5
+Z+X_edge,M3,0.72,0.5
-Z+X_edge,M3,0.72,0.5
+Z-X_edge,M3,0.72,0.5
-Z-X_edge,M3,0.72,0.5
+Z+Y_edge,M3,0.7,0.5
-Z+Y_edge,M3,0.7,0.5
+Z-Y_edge,M3,0.825,0.5
-Z-Y_edge,M3,0.825,0.5
+X+Y_off,M3,0.7,0.5
-X+Y_off,M3,0.7,0.5
+X-Y_off,M3,0.86,0.5
-X-Y_off,M3,0.86,0.5
+X+Z_off,M3,0.72,0.5
-X+Z_off,M3,0.72,0.5
+X-Z_off,M3,0.72,0.5
-X-Z_off,M3,0.72,0.5
+Y+X_off,M3,0.3,0.5
-Y+X_off,M3,1.35,0.5
+Y-X_off,M3,0.3,0.5
-Y-X_off,M3,1.35,0.5
+Y+Z_off,M3,0.3,0.5
-Y+Z_off,M3,1.35,0.5
+Y-Z_off,M3,0.3,0.5
-Y-Z_off,M3,1.35,0.5
+Z+X_off,M3,0.72,0.5
-Z+X_off,M3,0.72,0.5
+Z-X_off,M3,0.72,0.5
-Z-X_off,M3,0.72,0.5
+Z+Y_off,M3,0.7,0.5
-Z+Y_off,M3,0.7,0.5
+Z-Y_off,M3,0.86,0.5
-Z-Y_off,M3,0.86,0.5
